task_id,rubric_item_id,weight,criterion,method,implementation_note,owner
8c8fc328-69fc-4559-a13f-82087baef0a1,454020fa-dc8b-49a5-a412-bec38e346bd1,5,The submitted script is delivered as a .docx Word document,,,
8c8fc328-69fc-4559-a13f-82087baef0a1,27e88f73-ce2e-4a6b-9e67-4ead80ef436f,2,"The script includes the title string: ""Unseen Realms: The Microscopic Marvels""",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,6a248ca2-1440-48eb-a70f-5e83c92ba4e7,1,"The script contains timecodes using mm:ss formatting (e.g., 00:30) to indicate timing for events or segments",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,c4873059-c5ae-4555-86d7-19fb851cc9bc,1,"All time indications use mm:ss only (no formats like “3 min”, “1m30s”, or clock-style times)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,ce6fe8d0-30a7-4e9f-9e24-78f222ce3bc5,2,The total runtime implied by the timestamps is between 2:00 and 8:00 (inclusive),,,
8c8fc328-69fc-4559-a13f-82087baef0a1,83651fb4-7dad-4142-808b-d9233be69172,2,The document length is fewer than 5 pages (page count ≤ 4 when opened in a standard word processor),,,
8c8fc328-69fc-4559-a13f-82087baef0a1,a1c5c616-89b8-42d7-afef-8dc7a916191f,1,"The script avoids camera/lens technical directions and jargon (terms such as pan, tilt, dolly, crane, rack focus, focal length, CU, ECU, ISO, shutter, fps, SMPTE do not appear)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,d7893b64-b971-4ffc-b736-669b1d375149,2,"Generalized scene/visual descriptions accompany the narration (i.e., visuals are described at a conceptual level rather than shot instructions)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,c89be890-da58-49da-8f64-15a61107fa8f,1,Language is broadcast‑safe (no profanity or slang unsuitable for broadcast),,,
8c8fc328-69fc-4559-a13f-82087baef0a1,14df6c2b-a7b3-4680-8607-4df9631df0dc,1,"No graphic or frightening depictions inappropriate for children appear (terms like gory, bloody, grisly are absent)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,1c6bdd3f-6621-4cd2-9f4d-827734ce652f,2,"Narration content is substantively consistent with page 1 of the reference ('Nature Doc Key Info and VO.docx'), covering all specified narrator lines/topics verbatim or via faithful paraphrase",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,e19537c0-7ba3-403e-bfdb-f44153f16246,2,Visual descriptions do not contradict any VO beat from page 1 of the reference 'Nature Doc Key Info and VO.docx',,,
8c8fc328-69fc-4559-a13f-82087baef0a1,9c83ac81-e051-4a74-8057-5c6620aeb142,2,"The script includes a segment that establishes an active, hidden microscopic universe made visible by the invention of the microscope (Sequence 1 content)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,c9015609-218d-4057-8143-e90cb4cde20b,2,"The script includes a segment highlighting early observations of single‑celled organisms in common environments (e.g., pond water), emphasizing their movements and interactions (Sequence 2 content)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,6f3c9df6-9773-4429-9638-8439b5b338ea,2,"The script includes a segment covering essential cellular‑level processes (e.g., cell division) and the idea that cells are the building blocks of all organisms (Sequence 3 content)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,c37fdac2-c410-4170-b132-6c85810e2ee7,2,"The script includes a segment revealing the ""hidden architecture"" of everyday inanimate objects under magnification (e.g., textile fibers, salt crystals, snowflakes, plant surfaces) (Sequence 4 content)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,dfb8dda9-85cb-418c-8496-8ae4b2c4e51e,2,"The script includes a segment on the impact of microscopic observation on scientific advancement (e.g., understanding disease, natural processes, new materials) (Sequence 5 content)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,cda6c57d-75f7-4e9b-b851-8544fb04e683,2,"The script includes a concluding segment that inspires awe and curiosity, encouraging appreciation for the beauty and complexity in small details (Sequence 6 content)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,f7c71ac7-8492-4b00-b90c-315173bb3bd3,1,The script includes at least one analogy or comparison that makes a microscopic concept accessible to children 6–12,,,
8c8fc328-69fc-4559-a13f-82087baef0a1,9c699ac7-4b65-4603-a31a-95f57a3630a3,1,"The script includes at least one real‑world connection or ""so‑what"" (e.g., health, ecosystems, technology) aimed at relevance for adults 25–34",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,eca22bef-f105-4afa-b1d6-e6ab4d04beb0,2,"The script contains no demonstrably false statements such as ""viruses are bacteria"", ""all microbes are harmful"", ""microscopic life is visible without magnification"", or ""algae are animals",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,8cfc6998-2acb-45c4-abfd-62f3bdecfb1f,1,The sequence order follows the logical progression outlined in the reference (Sequences 1 through 6 in order),,,
8c8fc328-69fc-4559-a13f-82087baef0a1,cd7362e6-2d48-483c-9940-653ed7cda857,1,Any scientific jargon used is briefly explained in simple terms on first mention,,,
8c8fc328-69fc-4559-a13f-82087baef0a1,7b5dfba7-0b61-4025-a9b9-58ad0f7be6e7,1,The script’s tone and length are suitable for both broadcast and online distribution.,,,
8c8fc328-69fc-4559-a13f-82087baef0a1,ff1c96fb-c182-46c1-a1bb-c2f7a562fd53,1,The script includes both narration and visual description across all sequences (not narration-only).,,,
8c8fc328-69fc-4559-a13f-82087baef0a1,fcb117b2-ab20-4408-aff5-96f7c5cec292,1,"The tone is calm, enriching, trustworthy, and intellectually stimulating (no sensationalism or alarmist language)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,3607ae1c-3208-49e4-9096-59eb85c56933,1,"Narration and visuals are clearly distinguished (e.g., labels like “Narrator:”/“VO:” versus “Visuals:” or an equivalent consistent distinction)",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,3c8dd17a-bf3c-4711-8020-8b334015cbb5,1,Each main segment/sequence begins with a start timestamp in mm:ss format,,,
8c8fc328-69fc-4559-a13f-82087baef0a1,abca618d-245f-4b7c-aaa9-9467a695a528,1,"Transitions or bridging phrases connect segments (e.g., next, as we look closer, meanwhile) to maintain flow",,,
8c8fc328-69fc-4559-a13f-82087baef0a1,2794be9e-e802-48b1-be9f-c1473861e85e,5,Overall formatting and style of the deliverable,,,
e222075d-5d62-4757-ae3c-e34b0846583b,b3019a4c-d822-47c8-baee-fa4ecb9b1d25,2,Final deliverable is an MP4 file (.mp4 extension),,,
e222075d-5d62-4757-ae3c-e34b0846583b,e0e27482-9ecb-4883-bdd3-3514b55b777b,2,Primary video codec in the file is H.264/AVC,,,
e222075d-5d62-4757-ae3c-e34b0846583b,5203dabe-1ad5-49d4-ab31-29246f1ed178,2,Video resolution is exactly 1920 x 1080 pixels.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,d60c265e-49ac-4b8a-a94f-a903c489ca30,2,Total runtime is between 29.9 s and 30.1 s inclusive.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,40d91fde-7dd6-460d-bfac-8f73e1c7e153,2,A scratch voiceover (VO) is present and clearly audible at least once during the 30-second runtime.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,bf749a2f-d261-4963-991b-8ca91a539bce,2,Voiceover reads the lines written verbatim in GreenEnergy-30_Script.pdf.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,6140bed1-fd83-46bd-97c5-84fae512c8cb,2,Exactly two full-screen text-only graphic cards are used (no underlying imagery visible).,,,
e222075d-5d62-4757-ae3c-e34b0846583b,73d1b5f3-0321-4294-80b9-2621ea16bdcd,2,"The first graphic card displays exactly: ""Renewable, reliable, green energy projects will create jobs"" (verbatim, no extra words).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,876c9a12-20b3-4853-b89b-ad961af00027,2,"The second card displays exactly: ""Urge your legislator to support green energy in California"" (verbatim, no extra words).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,fc48bbe9-b619-4585-aebf-5075d0d0ae9d,1,"Both graphic cards use white text on a solid black background in a clean sans‑serif font (e.g., Arial/Helvetica or similar).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,21b1151f-644e-4e3f-8a7e-cd64999090e6,2,"The visuals include at least one shot clearly depicting solar energy infrastructure (e.g., solar farm or rooftop solar).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,3c252acc-a00a-4448-9d64-43ad1320cd70,2,The visuals include at least one shot clearly depicting wind turbines.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,d4976c2b-0a6d-426c-b319-103514679d90,1,"At least one shot shows Californians at work (any sector, e.g., office or restaurant).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,a9cb054b-e589-4ae6-b55b-7edefc201923,1,"At least one shot shows people working in roles connected to green energy (e.g., solar or wind technicians, engineers).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,76c2bb4e-1fa2-4aeb-bbb7-f17666410a6e,1,"At least one recognizable California location is depicted (e.g., Golden Gate Bridge, Los Angeles skyline, California beach/coastline, or Central Valley agriculture fields).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,bfb02699-ff4c-441c-ba1c-f13c28f243f7,-5,"Any clearly identifiable non‑California landmark (e.g., Space Needle, New York skyline) appears in the spot.",,,
e222075d-5d62-4757-ae3c-e34b0846583b,22e55d93-8ca4-443f-985a-8fc170b42177,2,A music soundtrack is present and audible during the spot.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,3b2c3fc7-b7a3-4399-b331-3e8993b08b24,1,The music track has a clear and strong ending.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,d943c3de-b84e-46df-a161-0f00b8740cdc,2,The music track has a clear beginning.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,a0fe8796-7033-4221-960f-338d9391924d,2,Music soundtrack is in a classical style that feels elegant but energetic.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,998640ff-fbc7-4438-a5b4-38b2af4aa8a4,1,Background music is edited to fit the 30-second runtime exactly.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,7b4be022-4cdd-4742-aa1d-bba084b2697a,1,Text on both graphic cards is fully within frame (not clipped) and legible against the black background.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,20c90ee0-8cca-4f3c-b91f-8608f3c0714f,1,"People reflect visible diversity in age, ethnicity, and gender.",,,
e222075d-5d62-4757-ae3c-e34b0846583b,fa2937c4-64c4-47ab-afd8-14e7698ee0ef,15,"All footage is from royalty-free platforms such as but not limited to Pexels, Pixabay, Unsplash, etc.",,,
e222075d-5d62-4757-ae3c-e34b0846583b,b8019ee1-12b4-4e22-adac-2a9e37fefef1,1,Includes a shot of the Golden Gate Bridge.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,2f411bd8-8ea3-46a3-b885-53e7a29a12ee,1,"Includes a shot of agriculture (e.g., farms or fields).",,,
e222075d-5d62-4757-ae3c-e34b0846583b,1913a2d9-5b6f-46f6-86ec-c06878687647,1,Includes a shot of a beach or Pacific coastline recognizable as California.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,e2a08cdd-9279-46fd-a169-f4fa2e6d501d,1,Includes a shot of the Los Angeles skyline.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,e7a8b9b3-bca6-4793-837a-8fbc4b20ee7e,1,Includes a shot of restaurant workers in a kitchen or service setting.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,f76faeeb-b743-48cb-a36b-3f5b7a965142,1,Includes a shot of people working in an office setting.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,bbbe07a8-1fa0-480a-ad95-fac63c043dff,-85,Uses any footage with people whose faces are identifiable.,,,
e222075d-5d62-4757-ae3c-e34b0846583b,7561cb8d-4275-447b-9b6a-5f59940ef0c7,2,The music track used is sourced from a stock or royalty-free provider (publicly available online).,,,
e222075d-5d62-4757-ae3c-e34b0846583b,a483c834-639a-460c-9bef-1eb63904dc34,2,"Overall pacing and tone can be considered any of the following: optimistic, proud, persuasive, medium-high energy, maintaining elegance and importance",,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,46589275-d95b-408b-bd6e-ae3e0482f294,2,Final deliverable is an MP4 file (.mp4 extension),,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,01dd8b45-b5d2-4f6a-a2ab-01d703dd9e57,2,Primary video codec in the file is H.264/AVC,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,ae9d3e51-af59-4612-a279-a417f550b26c,2,Resolution is exactly 1920×1080 pixels,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,48aa6982-a1d0-4bf5-ae2b-5e60fffef782,2,Total runtime is 14.9s - 15.1s inclusive seconds in length.,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,c8b6b590-81e9-4f43-9a0e-5033cd6c65f8,2,No added VO/narrator track is present.,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,a173b37e-1c35-4c68-8a15-0a4c1ba7fa1b,2,The music track is dramatic and/or somber in tone.,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,4c458bda-d597-4aa1-b1bd-1009bd16ce9a,1,The music track has a clear and strong ending.,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,97f3261d-ac6b-4b5e-b540-f68ebd31d1c6,1,The music track has a clear beginning.,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,658448eb-3daf-4a60-85c3-5e8b282b4174,1,Background music is edited to fit the 15-second runtime exactly.,,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,ed879641-b62f-4609-9c7d-b3ef102e2fd6,2,The opening shot contains no on‑screen text (text‑free first shot),,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,9db95bbf-0147-4c78-8913-b3b5a415829e,2,"The super line ""In a year of record profits,"" appears on screen verbatim",,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,69d7c330-55b3-46da-a646-6a0b8e718064,2,"The super line ""VitalNet Health Plans"" appears on screen verbatim",,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,da9bdad4-56cd-4bb8-8135-6d95e26e6883,2,"The super line ""Is cutting payments for autism care"" appears on screen verbatim",,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,6d9d61d8-70b8-409b-bed7-c0057b3b18b4,2,"The super line ""Making it harder for kids and families"" appears on screen verbatim",,,
c94452e4-39cd-4846-b73a-ab75933d1ad7,480126ca-4526-4a54-a7e8-77c1b38750e8,2,"The super line ""To get the care they need."" appears on screen verbatim.",,,
